"","Open","High","Low","Close","Volume"
"2024-01-20",207191,208201,206116,207366,54.65616
"2024-01-21",207366,208356,206303,206637,44.30396
"2024-01-22",206645,207025,197904,198584,206.47526
"2024-01-23",198636,201918,192812,199365,183.90341
"2024-01-231",198636,201918,192812,198567,179.82431
"2024-01-221",206645,207025,197904,198584,206.47526
"2024-01-211",207366,208356,206303,206637,44.30396
"2024-01-201",207191,208201,206116,207366,54.65616
"2024-01-19",205549,209324,199726,207191,181.47078
"2024-01-18",212353,213155,202000,205539,168.26401
"2024-01-17",213626,214049,209326,212336,126.05504
"2024-01-16",208979,215800,207600,213652,137.94138
"2024-01-15",205300,212964,205242,209007,150.28577
"2024-01-14",210652,211688,205268,205301,103.18065
"2024-01-13",210054,212660,208508,210684,111.94968
"2024-01-12",227567,228414,204000,210068,294.27475
"2024-01-11",230580,240018,224459,227582,277.64176
"2024-01-10",227958,235600,218267,230620,263.23157
"2024-01-09",229956,236373,222344,227880,291.17324
"2024-01-08",216437,231408,212850,229928,275.6252
"2024-01-07",216200,218985,214902,216471,90.46687
"2024-01-06",217000,217342,213702,216195,75.99308
"2024-01-05",218245,218763,209395,217000,181.20271
"2024-01-04",212660,221000,211000,218299,149.24194
"2024-01-03",222188,224519,204670,212685,289.39391
"2024-01-02",217733,226020,217669,222202,252.73386
"2024-01-01",209248,217799,208656,217790,92.80522
"2023-12-31",207683,211600,207200,209177,93.60931
"2023-12-30",207070,209767,204563,207703,79.21742
"2023-12-29",208631,211750,204100,207079,155.12642
"2023-12-28",211304,212900,206230,208632,135.87363
"2023-12-27",206301,212637,204750,211317,142.45676
"2023-12-26",215125,215212,202900,206301,197.77316
"2023-12-25",211673,216250,210602,215128,94.68605
"2023-12-24",214920,216283,210504,211765,158.34855
"2023-12-23",215367,215679,212490,214921,71.23633
"2023-12-22",215865,218100,212673,215383,135.17365
"2023-12-21",216149,217932,213189,215869,164.35598
"2023-12-20",207386,217900,207116,216146,176.30998
"2023-12-19",210458,214500,204500,207363,158.68704
"2023-12-18",206586,210834,202259,210422,160.56863
"2023-12-17",210353,211498,206111,206580,82.77276
"2023-12-16",208787,212746,207251,210353,75.87324
"2023-12-15",212407,212904,207354,208774,130.32241
"2023-12-14",212555,214792,205500,212416,186.27822
"2023-12-13",207366,215500,203281,212551,195.50023
"2023-12-12",205457,209550,203395,207407,151.42341
"2023-12-11",218011,218080,199665,205507,281.65778
"2023-12-10",217473,219029,216775,218000,72.85089
"2023-12-09",219091,220109,216695,217484,83.94957
"2023-12-08",213633,221878,212616,219060,159.62489
"2023-12-07",216007,217702,211478,213654,177.27689
"2023-12-06",218997,219948,215200,216041,193.43691
"2023-12-05",208861,220848,205733,218915,338.45336
"2023-12-04",197240,210849,197239,208898,353.94446
"2023-12-03",194244,198100,193322,197213,141.48904
"2023-12-02",190375,195450,190049,194255,119.9622
"2023-12-01",186677,191615,186038,190375,231.0412
"2023-11-30",186430,187768,184815,186618,141.92989
"2023-11-29",185203,188280,184534,186435,146.18039
"2023-11-28",183674,187969,181802,185204,135.54849
"2023-11-27",185292,185814,180549,183620,151.98543
"2023-11-26",186612,186777,183797,185286,74.42913
"2023-11-25",186117,186971,185533,186600,49.81586
"2023-11-24",184207,189157,183861,186117,196.37269
"2023-11-23",184128,185250,181627,184193,120.56115
"2023-11-22",176176,185900,175514,184111,242.00573
"2023-11-21",183130,184780,176176,176277,216.01871
"2023-11-20",184420,185040,180193,183130,186.13956
"2023-11-19",180939,185000,179851,184341,107.25007
"2023-11-18",180761,182037,178500,180911,97.16342
"2023-11-17",177605,181222,176715,180743,177.66644
"2023-11-16",185493,185822,174204,177656,235.6814
"2023-11-15",174727,185976,173920,185471,249.13142
"2023-11-14",180629,181777,170610,174728,251.3473
"2023-11-13",183870,185646,180068,180629,204.77685
"2023-11-12",184038,184796,182215,183881,89.25657
"2023-11-11",184524,184949,182150,184027,109.00673
"2023-11-10",182520,185395,180501,184424,208.24832
"2023-11-09",176130,186785,175800,182579,383.05957
"2023-11-08",173518,178375,172300,176103,216.01302
"2023-11-07",172471,175773,169473,173536,182.896
"2023-11-06",173322,174379,171616,172470,161.5656
"2023-11-05",173542,175000,170793,173326,101.1394
"2023-11-04",171530,174444,171250,173524,83.44154
"2023-11-03",174522,174537,169015,171559,239.31421
"2023-11-02",176862,179500,171460,174513,186.2569
"2023-11-01",175081,177705,171955,176826,280.36261
"2023-10-31",174617,175515,172452,175093,235.79032
"2023-10-30",173896,175550,172294,174585,214.6862
"2023-10-29",172050,175000,171300,173873,110.19376
"2023-10-28",171124,173726,170859,172068,81.81107
"2023-10-27",171613,172000,167508,171125,158.54517
"2023-10-26",173862,175387,169708,171612,202.90499
"2023-10-25",170437,176712,169139,173864,302.71908
"2023-10-24",166760,177309,165630,170488,629.09698
"2023-10-23",152134,175000,151703,166654,520.89726
"2023-10-22",151667,153250,150470,152131,82.97139
"2023-10-21",150395,153639,149450,151661,141.72315
"2023-10-20",145609,152500,145372,150397,307.82218
"2023-10-19",144032,146413,143148,145639,161.41373
"2023-10-18",143758,146350,143076,144032,152.14944
"2023-10-17",144010,144602,141949,143769,174.31238
"2023-10-16",139127,151000,138850,143983,453.13446
"2023-10-15",137523,139948,137375,139148,64.41472
"2023-10-14",137477,138274,137324,137524,77.7163
"2023-10-13",136231,138764,136190,137477,152.46373
"2023-10-12",136588,137131,135101,136232,106.87288
"2023-10-11",139116,139551,135072,136591,192.0882
"2023-10-10",142536,143099,138800,139116,192.59484
"2023-10-09",145070,145337,141850,142476,186.69304
"2023-10-08",145106,145827,144165,145072,71.68323
"2023-10-07",144600,145255,144199,145091,55.00197
"2023-10-06",142117,146399,142001,144594,204.61157
"2023-10-05",143328,145620,142080,142115,201.78257
"2023-10-04",141410,143753,140385,143342,166.27364
"2023-10-03",139372,141796,138744,141434,139.2439
"2023-10-02",140925,145045,138146,139384,216.97204
"2023-10-01",135769,141035,135754,140926,101.5273
"2023-09-30",135540,136800,135500,135783,96.47514
"2023-09-29",136360,136789,134410,135561,140.36558
"2023-09-28",133088,138025,132818,136338,351.38265
"2023-09-27",130913,134572,130800,133080,129.41899
"2023-09-26",131175,131453,130235,130914,104.62374
"2023-09-25",130425,131831,129177,131163,134.16602
"2023-09-24",131936,132553,129909,130480,81.12496
"2023-09-23",131992,132326,131706,131936,46.63741
"2023-09-22",131828,132396,131277,131978,113.82136
"2023-09-21",132956,133003,130601,131828,112.11937
"2023-09-20",133259,134042,131301,132951,110.79301
"2023-09-19",130800,134300,130395,133233,145.37407
"2023-09-18",130039,134042,129433,130866,190.80972
"2023-09-17",130265,130709,129500,130044,37.28575
"2023-09-16",130196,130860,129419,130250,59.90729
"2023-09-15",130210,131377,128354,130132,117.11036
"2023-09-14",129818,131518,129200,130206,95.71692
"2023-09-13",128519,130499,128032,129810,99.31619
"2023-09-12",124687,131770,124416,128497,193.65535
"2023-09-11",129534,129958,123554,124695,193.5671
"2023-09-10",130010,130300,128646,129543,59.32152
"2023-09-09",129787,130211,129291,130008,42.84108
"2023-09-08",131350,132136,128544,129786,152.3535
"2023-09-07",128569,132185,128231,131307,111.52333
"2023-09-06",128574,129998,127000,128527,99.11673
"2023-09-05",128086,129319,127000,128574,139.57641
"2023-09-04",129585,130037,127220,128078,100.38884
"2023-09-03",128830,130396,128647,129581,38.97284
"2023-09-02",128266,129571,128146,128818,58.57083
"2023-09-01",129234,130021,125840,128277,179.29
"2023-08-31",133899,135079,128128,129220,186.08098
"2023-08-30",135354,135654,132205,133900,147.93432
"2023-08-29",127980,137683,126960,135390,253.44532
"2023-08-28",128245,129107,127024,127952,111.49861
"2023-08-27",127873,128800,127703,128250,38.38406
"2023-08-26",127709,128181,127353,127872,53.80434
"2023-08-25",128350,128673,126537,127700,151.68321
"2023-08-24",129496,130075,127000,128336,154.44195
"2023-08-23",129309,130803,127814,129514,174.16333
"2023-08-22",130709,130769,126387,129299,202.3507
"2023-08-21",131854,131856,129816,130708,183.50478
"2023-08-20",131254,132365,130777,131856,71.04028
"2023-08-19",130755,132117,129581,131247,102.6208
"2023-08-18",134401,135332,128410,130751,358.50157
"2023-08-17",143931,144175,128982,134400,341.1953
"2023-08-16",146065,146383,143901,143934,153.62961
"2023-08-15",146136,147165,145700,146062,160.22925
"2023-08-14",144852,147575,142779,146117,175.6385
"2023-08-13",145087,145558,144506,144853,30.30391
"2023-08-12",144759,145310,144517,145089,47.46394
"2023-08-11",144476,145232,143700,144765,118.13285
"2023-08-10",145781,146081,143084,144487,145.49317
"2023-08-09",146311,147856,144926,145769,167.12164
"2023-08-08",143370,148000,142813,146257,239.10601
"2023-08-07",142628,144000,141500,143362,137.39378
"2023-08-06",142572,143163,142394,142610,33.59596
"2023-08-05",142850,143028,142388,142581,61.95273
"2023-08-04",143806,144075,141051,142850,149.1319
"2023-08-03",141165,144350,140121,143807,113.30463
"2023-08-02",142808,144499,140011,141192,159.24348
"2023-08-01",139252,142856,137133,142812,166.61434
"2023-07-31",140049,141142,138621,139253,127.28715
"2023-07-30",140169,140776,139000,140033,48.38192
"2023-07-29",140027,140450,139629,140166,45.67795
"2023-07-28",139432,140707,138574,140046,104.85507
"2023-07-27",140114,140879,138491,139471,108.41787
"2023-07-26",139764,141465,139056,140109,129.52154
"2023-07-25",139280,140243,138501,139764,96.43178
"2023-07-24",145155,145245,137742,139294,254.65606
"2023-07-23",143785,146165,143501,145155,47.24429
"2023-07-22",143953,144440,143064,143798,57.99396
"2023-07-21",143713,144390,142857,143955,94.51937
"2023-07-20",144266,146496,142930,143713,110.24864
"2023-07-19",144155,145800,143455,144288,127.42068
"2023-07-18",145706,146180,143008,144139,121.20778
"2023-07-17",146107,147582,143757,145706,148.01465
"2023-07-16",146569,147410,145645,146155,41.63157
"2023-07-15",146640,146989,146228,146529,44.99073
"2023-07-14",151005,151509,144290,146660,238.72032
"2023-07-13",147456,152711,146900,151000,263.7834
"2023-07-12",149622,150686,146555,147520,184.61055
"2023-07-11",148743,151432,148398,149607,167.54697
"2023-07-10",148425,151634,147310,148729,232.58791
"2023-07-09",148997,149700,147902,148401,63.78919
"2023-07-08",148877,149150,147690,148990,67.83203
"2023-07-07",147325,149800,146699,148810,223.66816
"2023-07-06",148297,152366,147071,147362,327.90128
"2023-07-05",149757,150106,147350,148307,162.87573
"2023-07-04",149838,150682,148600,149736,121.23578
"2023-07-03",147824,151256,146606,149777,192.24244
"2023-07-02",147482,148587,145602,147817,80.93371
"2023-07-01",146933,147807,146173,147513,66.55977
"2023-06-30",148442,151500,143581,146889,302.6658
"2023-06-29",146921,150564,146734,148469,193.06702
"2023-06-28",148223,148500,145695,146986,181.92839
"2023-06-27",145299,149149,144700,148280,175.76125
"2023-06-26",146766,147165,143657,145300,150.25022
"2023-06-25",146606,148835,145925,146776,68.00419
"2023-06-24",147807,148367,145828,146578,86.05441
"2023-06-23",142896,150734,142364,147804,280.85673
"2023-06-22",143149,145260,141805,142923,256.19077
"2023-06-21",136089,147089,135850,143101,464.12957
"2023-06-20",128960,136510,128369,136088,228.07618
"2023-06-19",128151,129879,126400,128942,171.07964
"2023-06-18",129098,129888,127880,128150,67.63829
"2023-06-17",127905,129700,127162,129122,89.60131
"2023-06-16",123840,128482,122122,127900,160.57565
"2023-06-15",122210,124587,120347,123909,173.96801
"2023-06-14",126870,127490,120263,122235,204.93188
"2023-06-13",126675,129020,125723,126856,168.00694
"2023-06-12",128309,128952,125916,126620,173.08164
"2023-06-11",127667,129609,126857,128300,100.8875
"2023-06-10",130444,130622,125347,127721,225.82324
"2023-06-09",131700,132528,129364,130411,121.66241
"2023-06-08",130785,133090,130043,131700,95.28526
"2023-06-07",134491,135150,129525,130773,233.44526
"2023-06-06",128291,135122,125943,134490,279.8269
"2023-06-05",136001,136127,126151,128289,321.41926
"2023-06-04",135540,137581,134925,136104,44.23482
"2023-06-03",135986,136717,134846,135592,64.77661
"2023-06-02",135310,137188,133873,135964,178.7683
"2023-06-01",138317,139000,134558,135329,196.73557
"2023-05-31",140407,140771,136736,138306,221.3843
"2023-05-30",140097,142231,139303,140418,169.37535
"2023-05-29",140992,142850,138601,140114,138.42997
"2023-05-28",135194,142000,134754,140964,130.31041
"2023-05-27",134264,135380,133650,135183,93.57748
"2023-05-26",133289,135315,132494,134249,231.87915
"2023-05-25",131401,134300,129268,133289,254.03572
"2023-05-24",136044,136125,130174,131401,251.08436
"2023-05-23",134238,137210,134001,136061,174.36362
"2023-05-22",134305,135305,133406,134215,157.70197
"2023-05-21",135705,136258,134100,134285,91.19201
"2023-05-20",134760,136200,134503,135688,76.70453
"2023-05-19",134001,135940,133631,134762,162.61941
"2023-05-18",136095,137054,132010,134001,148.11607
"2023-05-17",134585,136777,132408,136047,151.16749
"2023-05-16",134013,134949,132672,134615,144.92019
"2023-05-15",134030,136943,133155,134071,142.04894
"2023-05-14",132829,135136,131915,134033,74.19631
"2023-05-13",133315,134463,132719,132823,86.64364
"2023-05-12",134282,134712,128242,133333,231.69916
"2023-05-11",137541,137999,133111,134318,222.6455
"2023-05-10",138568,141300,134000,137529,226.64831
"2023-05-09",139621,140076,137301,138576,218.38643
"2023-05-08",142604,143709,137200,139669,274.35017
"2023-05-07",144699,145900,142500,142662,70.2544
"2023-05-06",147009,148156,142066,144613,156.08845
"2023-05-05",144316,147890,144229,147067,233.56534
"2023-05-04",145767,147200,144000,144316,190.72486
"2023-05-03",145274,146836,141700,145739,235.75372
"2023-05-02",141836,146409,140680,145254,215.39897
"2023-05-01",147147,147498,140000,141835,183.72521
"2023-04-30",147002,150000,146453,146945,94.34255
"2023-04-29",147536,148200,146000,147065,59.62881
"2023-04-28",147610,149002,145500,147578,212.54743
"2023-04-27",144569,149701,144434,147637,281.60723
"2023-04-26",143966,152262,139417,144558,419.2564
"2023-04-25",139677,144341,138207,143986,177.53248
"2023-04-24",141014,142999,137311,139666,207.88826
"2023-04-23",142659,142659,140300,141043,75.99844
"2023-04-22",139637,142959,138783,142601,115.90143
"2023-04-21",143561,144675,139062,139616,177.97959
"2023-04-20",147598,148957,142314,143562,267.12195
"2023-04-19",152109,152137,146117,147618,326.4149
"2023-04-18",146486,152549,145313,152120,278.09451
"2023-04-17",151076,151127,145836,146485,305.25875
"2023-04-16",151251,152000,150519,151031,97.80164
"2023-04-15",150762,151800,149808,151250,117.45339
"2023-04-14",150524,153099,149164,150764,259.24693
"2023-04-13",148172,151305,148118,150546,186.19313
"2023-04-12",151952,152547,147300,148172,251.78072
"2023-04-11",150520,154192,150400,151952,314.75834
"2023-04-10",144156,151493,143511,150474,288.57395
"2023-04-09",142328,145344,141800,144128,85.10303
"2023-04-08",142212,143352,141918,142371,64.13027
"2023-04-07",142721,143110,141579,142226,75.1333
"2023-04-06",142673,143700,141250,142718,167.29477
"2023-04-05",143777,146509,141272,142688,209.46076
"2023-04-04",141974,144760,141251,143770,172.05944
"2023-04-03",144519,145602,139299,141930,270.5837
"2023-04-02",145565,145875,143106,144535,80.36272
"2023-04-01",145500,147068,144432,145557,76.397
"2023-03-31",144392,146436,142039,145504,211.84851
"2023-03-30",146495,150158,142649,144392,313.5583
"2023-03-29",141986,148700,141832,146494,270.12956
"2023-03-28",142770,143164,139174,141901,427.43324
"2023-03-27",148078,148582,140401,142765,291.02643
"2023-03-26",145646,149219,145410,148073,123.38205
"2023-03-25",145450,147099,144350,145650,161.45364
"2023-03-24",150113,150735,143225,145421,333.30282
"2023-03-23",144408,152559,143773,150091,414.65021
"2023-03-22",148601,153000,140597,144397,509.92834
"2023-03-21",146782,150132,144915,148637,478.42076
"2023-03-20",148228,150224,143619,146884,707.58692
"2023-03-19",142082,150000,141812,148228,414.64322
"2023-03-18",145357,146800,140694,142073,426.77992
"2023-03-17",131816,147323,131341,145349,748.6488
"2023-03-16",128917,133127,128291,131726,471.23206
"2023-03-15",130387,133283,127306,128928,616.75128
"2023-03-14",126069,137936,125480,130360,957.09376
"2023-03-13",113845,128100,112200,126155,963.46766
"2023-03-12",104650,114117,103959,113788,450.2428
"2023-03-11",105733,108955,103530,104662,485.20985
"2023-03-10",105850,106212,101777,105701,666.58322
"2023-03-09",112387,112887,104322,105816,616.25092
"2023-03-08",116019,116459,112300,112406,445.72515
"2023-03-07",116246,117241,114575,115986,367.43152
"2023-03-06",117345,117800,116051,116238,261.00327
"2023-03-05",117016,118466,116160,117373,176.19054
"2023-03-04",117149,117450,115950,116994,121.83919
"2023-03-03",122539,122667,115400,117155,482.85497
"2023-03-02",123170,123997,121515,122582,308.26937
"2023-03-01",121200,125200,120611,123233,431.77732
"2023-02-28",122600,123650,120901,121209,366.10747
"2023-02-27",122979,124750,120738,122647,367.93568
"2023-02-26",120962,123400,120464,122975,136.79739
"2023-02-25",121178,121195,118851,120950,161.3855
"2023-02-24",123571,124538,119766,121182,324.59629
"2023-02-23",125490,127404,122537,123539,376.53985
"2023-02-22",127473,127610,123004,125434,331.16139
"2023-02-21",129090,131000,125901,127515,284.80267
"2023-02-20",126868,130468,124860,129100,268.14773
"2023-02-19",128191,130868,126559,126872,240.16603
"2023-02-18",127750,129218,126946,128191,179.04255
"2023-02-17",122838,129846,122011,127779,529.51234
"2023-02-16",126298,131933,122808,122832,828.10452
"2023-02-15",115705,126701,115000,126306,703.78451
"2023-02-14",113310,116376,112127,115739,417.04811
"2023-02-13",114925,115189,111325,113349,382.75501
"2023-02-12",115007,116100,113903,114920,201.4002
"2023-02-11",113480,115280,113408,115053,149.86629
"2023-02-10",115581,116361,112861,113533,406.93916
"2023-02-09",119875,120088,115164,115581,551.73111
"2023-02-08",120879,121494,118888,119876,417.3512
"2023-02-07",118041,121121,117933,120885,429.71505
"2023-02-06",119192,120598,117400,118034,385.89258
"2023-02-05",120490,121030,118200,119165,226.9645
"2023-02-04",120587,121400,119876,120526,156.65955
"2023-02-03",119438,121708,118577,120569,450.46647
"2023-02-02",120652,122846,118313,119386,483.33159
"2023-02-01",118082,120944,116904,120646,349.93928
"2023-01-31",117321,118865,116579,118082,260.7204
"2023-01-30",121666,121894,115932,117346,348.43442
"2023-01-29",118247,122562,118050,121650,272.2697
"2023-01-28",118580,119070,117588,118250,110.51759
"2023-01-27",117491,120435,115449,118526,298.44909
"2023-01-26",118019,119160,116994,117481,282.74078
"2023-01-25",117247,121400,114877,117936,389.44767
"2023-01-24",119592,120670,116631,117235,321.39584
"2023-01-23",118703,120689,117718,119526,306.41518
"2023-01-22",118890,120275,116631,118726,250.2995
"2023-01-21",118147,121909,116796,118890,397.36649
"2023-01-20",109652,118312,108617,118147,446.19821
"2023-01-19",107359,110020,107300,109652,291.57245
"2023-01-18",108876,110436,105522,107326,437.58653
"2023-01-17",109542,111227,108041,108868,376.47754
"2023-01-16",107221,111000,106252,109551,400.38625
"2023-01-15",107531,108225,105426,107246,219.09668
"2023-01-14",102329,108880,102124,107470,585.48291
"2023-01-13",97424,102683,96740,102329,550.47087
"2023-01-12",93441,98036,93246,97429,783.43057
"2023-01-11",91432,93694,90738,93440,419.07025
"2023-01-10",90831,91791,90625,91444,365.86655
"2023-01-09",91121,92500,90650,90801,488.31589
"2023-01-08",89729,91300,89500,91121,190.34701
"2023-01-07",89502,89990,89427,89728,127.71555
"2023-01-06",90583,90724,88810,89484,356.59743
"2023-01-05",91371,91488,90525,90572,398.45584
"2023-01-04",90302,92890,89851,91362,534.86044
"2023-01-03",88665,90433,88495,90298,341.17615
"2023-01-02",88181,89402,87922,88655,272.77675
"2023-01-01",88082,88390,87795,88170,79.59636
"2022-12-31",88724,88804,87789,88087,187.95651
"2022-12-30",88387,88907,87200,88747,317.29528
"2022-12-29",87799,88671,87028,88385,345.73396
"2022-12-28",88535,88840,87650,87800,339.31111
"2022-12-27",88488,89355,88002,88531,325.17705
"2022-12-26",87235,88681,87200,88480,215.94343
"2022-12-25",87215,87343,86713,87258,88.78726
"2022-12-24",86952,87394,86854,87190,99.66639
"2022-12-23",87839,88667,86750,86951,501.12341
